LSOA11CD,Total_Airbnb_beds,Total_Airbnb_bedrooms,avg_Airbnb_PPB_day
E01000247,4,3,40
E01000248,10,8,35.5
E01000249,6,5,45.8
E01000250,8,8,39.5
E01000251,14,15,56.26666667
E01000252,4,3,58.33333333
E01000253,8,6,40
E01000254,13,10,45.9
E01000255,12,9,47
E01000256,7,8,38.625
E01000257,17,13,42.53846154
E01000258,12,16,45
E01000259,9,8,44.5
E01000260,17,13,68.84615385
E01000261,2,1,29
E01000262,20,17,47.58823529
E01000263,5,5,77.8
E01000264,10,10,61.8
E01000265,7,6,25
E01000266,4,4,48.75
E01000267,2,2,42.5
E01000268,0,0,NA
E01000269,5,5,44
E01000270,0,0,NA
E01000271,4,2,79
E01000272,2,2,40
E01000273,3,2,56
E01000274,14,11,47
E01000275,3,2,41.5
E01000276,0,0,NA
E01000277,16,16,55.5
E01000278,14,11,54.27272727
E01000279,10,8,57.125
E01000280,15,13,55.61538462
E01000281,10,8,34.875
E01000282,12,12,51.16666667
E01000283,10,9,47.55555556
E01000284,8,7,39.42857143
E01000285,6,5,38.8
E01000286,0,0,NA
E01000287,10,9,39.22222222
E01000288,11,9,54.33333333
E01000289,0,0,NA
E01000290,5,4,36.25
E01000291,0,0,NA
E01000292,1,1,40
E01000293,6,5,47
E01000294,6,6,32.33333333
E01000295,20,12,53.33333333
E01000296,5,7,120.1428571
E01000297,6,6,23.66666667
E01000298,8,8,33.375
E01000299,10,6,63
E01000300,9,7,76
E01000301,14,13,44.15384615
E01000302,6,6,44
E01000303,12,9,86.88888889
E01000304,8,9,46.55555556
E01000305,17,16,35.5625
E01000306,16,19,36.94736842
E01000307,11,11,49.27272727
E01000308,6,5,57.4
E01000309,21,13,61.07692308
E01000310,14,10,44.8
E01000311,7,5,42.2
E01000312,0,0,NA
E01000313,27,19,61.26315789
E01000314,22,16,55.5
E01000315,2,1,28
E01000316,23,17,70.29411765
E01000317,11,10,68
E01000318,7,5,41.8
E01000319,10,8,24.75
E01000320,6,5,39
E01000321,5,5,56.4
E01000322,11,6,96.33333333
E01000323,19,15,42.73333333
E01000324,10,8,42.75
E01000325,0,0,NA
E01000326,2,3,29.33333333
E01000327,0,0,NA
E01000328,0,0,NA
E01000329,0,0,NA
E01000330,1,1,15
E01000331,0,0,NA
E01000332,2,1,36
E01000333,1,1,45
E01000334,4,2,37.5
E01000335,14,10,32.6
E01000336,3,3,18.66666667
E01000337,3,3,53.33333333
E01000338,5,7,40.71428571
E01000339,0,0,NA
E01000340,3,2,45
E01000341,9,6,53.33333333
E01000342,3,2,60
E01000343,0,0,NA
E01000344,1,1,28
E01000345,1,1,33
E01000346,0,0,NA
E01000347,0,0,NA
E01000348,0,0,NA
E01000349,0,0,NA
E01000350,1,1,25
E01000351,6,4,46.25
E01000352,0,0,NA
E01000353,1,1,25
E01000354,0,0,NA
E01000355,2,2,21.5
E01000356,8,7,37.14285714
E01000357,0,0,NA
E01000358,1,1,30
E01000359,7,2,40
E01000360,6,5,31.8
E01000361,4,4,30.25
E01000362,1,1,20
E01000363,2,2,40
E01000364,4,3,43.66666667
E01000365,0,0,NA
E01000366,1,1,25
E01000367,1,1,34
E01000368,0,0,NA
E01000369,5,4,42.5
E01000370,1,1,20
E01000371,0,0,NA
E01000372,4,1,106
E01000373,4,4,36.25
E01000374,0,0,NA
E01000375,0,0,NA
E01000376,0,0,NA
E01000377,0,0,NA
E01000378,1,1,27
E01000379,9,6,36.33333333
E01000380,0,0,NA
E01000381,1,1,54
E01000382,0,0,NA
E01000383,2,1,30
E01000384,2,2,27.5
E01000385,0,0,NA
E01000386,1,1,28
E01000387,6,6,45.83333333
E01000388,0,0,NA
E01000389,0,0,NA
E01000390,2,1,61
E01000391,1,1,21
E01000392,1,1,85
E01000393,0,0,NA
E01000394,1,1,40
E01000395,6,3,46.33333333
E01000396,0,0,NA
E01000398,0,0,NA
E01000399,0,0,NA
E01000400,1,1,50
E01000401,3,2,30.5
E01000402,0,0,NA
E01000403,6,6,31.66666667
E01000404,3,3,19.66666667
E01000405,1,1,20
E01000406,6,6,22.5
E01000407,10,2,31
E01000408,3,2,37.5
E01000409,5,5,35.4
E01000410,2,2,38
E01000411,1,1,26
E01000412,6,6,31
E01000413,0,0,NA
E01000414,2,3,33
E01000415,2,1,40
E01000416,9,9,48.11111111
E01000417,4,1,75
E01000418,2,2,44
E01000419,6,6,10.83333333
E01000420,0,0,NA
E01000421,0,0,NA
E01000422,4,3,42.66666667
E01000423,7,6,31.5
E01000424,1,1,25
E01000425,1,1,23
E01000426,0,0,NA
E01000427,1,1,27
E01000428,3,3,42.66666667
E01000429,0,0,NA
E01000430,3,3,40
E01000431,1,1,30
E01000432,8,6,37.83333333
E01000433,3,2,30
E01000434,3,2,53
E01000435,0,0,NA
E01000436,0,0,NA
E01000437,0,0,NA
E01000438,0,0,NA
E01000439,2,2,20
E01000440,1,1,40
E01000441,0,0,NA
E01000442,0,0,NA
E01000443,0,0,NA
E01000444,1,1,95
E01000445,0,0,NA
E01000446,4,3,35
E01000447,6,4,62.5
E01000448,0,0,NA
E01000449,2,2,92
E01000450,1,2,60
E01000451,1,1,39
E01000452,0,0,NA
E01000453,0,0,NA
E01000454,0,0,NA
E01000455,4,4,20
E01000456,0,0,NA
E01000457,0,0,NA
E01000458,3,2,65
E01000459,2,2,31.5
E01000460,2,2,25
E01000461,6,2,84
E01000462,0,0,NA
E01000463,4,3,46.33333333
E01000464,2,2,34
E01000465,1,1,24
E01000466,4,4,29
E01000467,2,2,49.5
E01000468,18,10,55.9
E01000469,2,2,70
E01000470,4,2,32.5
E01000471,2,1,75
E01000472,18,14,65.64285714
E01000473,3,3,40
E01000474,1,1,40
E01000475,10,9,52
E01000476,1,0,Inf
E01000477,8,5,52
E01000478,1,1,55
E01000479,7,5,63
E01000480,9,9,37.88888889
E01000481,10,8,56.625
E01000482,18,13,50.53846154
E01000483,5,5,34
E01000484,0,0,NA
E01000485,5,5,39
E01000486,10,9,53.44444444
E01000487,16,12,35.25
E01000488,28,11,62.72727273
E01000489,57,46,64.95652174
E01000490,114,89,64.43820225
E01000491,103,69,61.75362319
E01000492,30,29,48.86206897
E01000493,53,48,56.52083333
E01000494,86,45,64.46666667
E01000495,125,45,53.4
E01000497,45,19,38.42105263
E01000498,6,5,38
E01000499,7,6,42
E01000501,10,7,50.14285714
E01000502,33,23,45.86956522
E01000503,15,12,58.33333333
E01000504,65,41,80.63414634
E01000505,16,12,57.91666667
E01000506,23,23,46.82608696
E01000507,11,5,60.8
E01000508,16,14,62.42857143
E01000509,7,5,36.2
E01000510,4,4,34.75
E01000511,33,24,55.875
E01000512,63,48,44.72916667
E01000513,7,7,63.71428571
E01000514,0,0,NA
E01000515,1,1,25
E01000516,21,9,143.8888889
E01000517,0,0,NA
E01000518,11,7,134.7142857
E01000519,7,6,46.16666667
E01000520,2,1,81
E01000521,42,24,52.66666667
E01000522,20,17,40.47058824
E01000523,35,36,73.05555556
E01000524,27,18,94.38888889
E01000525,29,18,52
E01000526,13,8,41.5
E01000527,11,11,29.45454545
E01000528,17,15,37.26666667
E01000530,101,94,45.35106383
E01000531,59,49,52.95918367
E01000532,40,40,63.6
E01000533,32,26,51.5
E01000534,87,65,43.26153846
E01000535,81,77,52.68831169
E01000536,7,6,52.5
E01000538,3,2,20
E01000539,1,0,Inf
E01000540,1,1,45
E01000541,5,5,50
E01000543,6,3,39.33333333
E01000544,37,27,70.18518519
E01000545,91,63,90.55555556
E01000546,71,50,70.18
E01000547,84,63,61.9047619
E01000548,60,50,90.98
E01000549,69,65,67.06153846
E01000550,114,77,71.37662338
E01000551,37,28,66.07142857
E01000552,35,29,69.48275862
E01000553,13,11,37.72727273
E01000554,24,25,44.32
E01000555,24,17,102.2941176
E01000556,18,17,50.88235294
E01000557,41,33,53.18181818
E01000558,55,40,57.625
E01000559,35,20,82.1
